PID,ImpressionId,ImpressionName,SizeId,Size,WorkspaceIds
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,385203,X Large,WRK-PG60
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,184129,Small,WRK-PG60
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,384928,XX Large,WRK-PG60
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,384925,X Small,WRK-PG60
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,184124,Medium,WRK-PG60
PID-3572PR,c67800ce-968f-42eb-a6cd-73a4d716a53e,SPLASHBERRY FUN,184122,Large,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,385203,X Large,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,184129,Small,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,384928,XX Large,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,384925,X Small,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,184124,Medium,WRK-PG60
PID-357E6E,0e02c125-15e2-4893-91b5-486724dded4a,Popcorn Gingham Bikini,184122,Large,WRK-PG60
PID-359E44,,,,,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,385203,X Large,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,184129,Small,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,384928,XX Large,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,384925,X Small,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,184124,Medium,
PID-35KKK1,9e942882-a41d-4ec0-bfbd-7e992adebea2,Product Impression,184122,Large,
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,385203,X Large,WRK-M7ZG
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,184129,Small,WRK-M7ZG
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,384928,XX Large,WRK-M7ZG
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,384925,X Small,WRK-M7ZG
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,184124,Medium,WRK-M7ZG
PID-35KKK1,85a4d334-9f2b-43c0-a824-ea195b920647,VERY CHERRY ,184122,Large,WRK-M7ZG
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,385203,X Large,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,452708,Large Plus,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,184129,Small,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,452709,X Large Plus,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,452707,Medium Plus,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,384925,X Small,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,184124,Medium,WRK-MZ6Z
PID-35PYYL,dc867268-6c56-4310-8892-e506b7b4bcbf,SUNSET TROPICS,184122,Large,WRK-MZ6Z
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,385203,X Large,WRK-Z9L86
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,184129,Small,WRK-Z9L86
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,384928,XX Large,WRK-Z9L86
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,384925,X Small,WRK-Z9L86
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,184124,Medium,WRK-Z9L86
PID-35R0RX,b56f7e28-cfc4-4497-a84f-4ff83a1e6ffe,C326AIMACTAOP215_15,184122,Large,WRK-Z9L86
PID-35R0RX,c393ec58-4568-4010-a836-58a505c763e7,Wild Boysenberry,385203,X Large,WRK-Z9L86
PID-35R0RX,c393ec58-4568-4010-a836-58a505c763e7,Wild Boysenberry,184129,Small,WRK-Z9L86
PID-35R0RX,c393ec58-4568-4010-a836-58a505c763e7,Wild Boysenberry,384928,XX Large,WRK-Z9L86
