PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-WRGKXL,47697,94980530,Green,Fern Green,3X,331,1
PID-WRGKXL,47697,94980552,Gray,Heathered Gray,2X,331,1
PID-WRGKXL,47697,94980551,Gray,Heathered Gray,1X,331,1
PID-WRGKXL,47697,94980550,Green,Fern Green,XX Large,331,1
PID-WRGKXL,47697,94980538,Blue,Navy Blue,XX Small,331,1
PID-WRGKXL,47697,94980537,Gray,Heathered Gray,XX Large,331,1
PID-WRGKXL,47697,94980536,Gray,Heathered Gray,X Large,331,1
PID-WRGKXL,47697,94980535,Gray,Heathered Gray,Large,331,1
PID-WRGKXL,47697,94980534,Gray,Heathered Gray,Small,331,1
PID-WRGKXL,47697,94980533,Gray,Heathered Gray,X Small,331,1
PID-WRGKXL,47697,94980532,Gray,Heathered Gray,XX Small,331,1
PID-WRGKXL,47697,94980554,Gray,Heathered Gray,4X,331,1
PID-WRGKXL,47697,94980531,Green,Fern Green,4X,331,1
PID-WRGKXL,47697,94980553,Gray,Heathered Gray,3X,331,1
PID-WRGKXL,47697,94980529,Green,Fern Green,1X,331,1
PID-WRGKXL,47697,94980528,Blue,Navy Blue,4X,331,1
PID-WRGKXL,47697,94980541,Blue,Navy Blue,Medium,331,1
PID-WRGKXL,47697,94980540,Blue,Navy Blue,Small,331,1
PID-WRGKXL,47697,1006150235,Blue,Navy Blue,Large,331,1
PID-WRGKXL,47697,94980527,Blue,Navy Blue,1X,331,1
PID-WRGKXL,47697,94980549,Green,Fern Green,X Large,331,1
PID-WRGKXL,47697,94980548,Green,Fern Green,Large,331,1
PID-WRGKXL,47697,94980547,Green,Fern Green,Medium,331,1
PID-WRGKXL,47697,94980546,Green,Fern Green,Small,331,1
PID-WRGKXL,47697,1006150234,Gray,Heathered Gray,Medium,331,1
PID-WRGKXL,47697,94980545,Green,Fern Green,X Small,331,1
PID-WRGKXL,47697,1006150233,Green,Fern Green,2X,331,1
PID-WRGKXL,47697,94980544,Green,Fern Green,XX Small,331,1
PID-WRGKXL,47697,1006150232,Blue,Navy Blue,3X,331,1
PID-WRGKXL,47697,94980543,Blue,Navy Blue,XX Large,331,1
PID-WRGKXL,47697,1006150231,Blue,Navy Blue,2X,331,1
PID-WRGKXL,47697,94980542,Blue,Navy Blue,X Large,331,1
PID-WRGKXL,47697,94980539,Blue,Navy Blue,X Small,331,1
PID-WRGW5Y,196,94980453,Blue,Slate Blue,1X,331,
PID-WRGW5Y,196,94980452,Pink,Light Pink,4X,331,
PID-WRGW5Y,196,94980451,Pink,Light Pink,3X,331,
PID-WRGW5Y,196,94980450,Pink,Light Pink,2X,331,
PID-WRGW5Y,196,1011522802,Blue,Blue,X Small,331,
PID-WRGW5Y,196,1011522801,Blue,Blue,XX Small,331,
PID-WRGW5Y,196,94980459,White,White,Medium,331,
PID-WRGW5Y,196,95045835,Blue,Navy Blue,X Small,331,
PID-WRGW5Y,196,94980458,White,White,X Small,331,
PID-WRGW5Y,196,94980457,White,White,XX Small,331,
PID-WRGW5Y,196,94980456,Blue,Slate Blue,4X,331,
PID-WRGW5Y,196,94980455,Blue,Slate Blue,3X,331,
PID-WRGW5Y,196,94980454,Blue,Slate Blue,2X,331,
PID-WRGW5Y,196,94980464,White,White,3X,331,
PID-WRGW5Y,196,94980463,White,White,2X,331,
PID-WRGW5Y,196,94980462,White,White,1X,331,
PID-WRGW5Y,196,94980461,White,White,XX Large,331,
PID-WRGW5Y,196,94980460,White,White,X Large,331,
PID-WRGW5Y,196,95045827,Red,Red,XX Large,331,
PID-WRGW5Y,196,1011522813,Purple,Berry Purple,X Large,331,
PID-WRGW5Y,196,95045826,Blue,Navy Blue,Medium,331,
PID-WRGW5Y,196,1011522812,Purple,Berry Purple,Large,331,
PID-WRGW5Y,196,1011522811,Purple,Berry Purple,Medium,331,
PID-WRGW5Y,196,95045825,Blue,Navy Blue,XX Small,331,
PID-WRGW5Y,196,1011522810,Purple,Berry Purple,Small,331,
PID-WRGW5Y,196,95045824,Red,Red,Medium,331,
PID-WRGW5Y,196,94980469,Black,Black,4X,331,
PID-WRGW5Y,196,94980468,Black,Black,3X,331,
PID-WRGW5Y,196,94980467,Black,Black,2X,331,
PID-WRGW5Y,196,94980466,Black,Black,1X,331,
PID-WRGW5Y,196,95045829,Blue,Navy Blue,X Large,331,
PID-WRGW5Y,196,94980465,White,White,4X,331,
PID-WRGW5Y,196,95045828,Blue,Navy Blue,Small,331,
PID-WRGW5Y,196,95045830,Red,Red,X Large,331,
PID-WRGW5Y,196,1011522809,Purple,Berry Purple,X Small,331,
PID-WRGW5Y,196,1011522808,Purple,Berry Purple,XX Small,331,
PID-WRGW5Y,196,1011522807,Blue,Blue,XX Large,331,
PID-WRGW5Y,196,95045834,Blue,Navy Blue,XX Large,331,
PID-WRGW5Y,196,1011522806,Blue,Blue,X Large,331,
PID-WRGW5Y,196,95045833,Red,Red,Small,331,
PID-WRGW5Y,196,1011522805,Blue,Blue,Large,331,
PID-WRGW5Y,196,95045832,Blue,Navy Blue,Large,331,
PID-WRGW5Y,196,1011522804,Blue,Blue,Medium,331,
PID-WRGW5Y,196,1011522803,Blue,Blue,Small,331,
PID-WRGW5Y,196,95045831,Red,Red,Large,331,
PID-WRGW5Y,196,94980442,Blue,Light Blue,XX Small,331,
PID-WRGW5Y,196,94980449,Pink,Light Pink,1X,331,
PID-WRGW5Y,196,94980448,Blue,Light Blue,XX Large,331,
PID-WRGW5Y,196,94980447,Blue,Light Blue,X Large,331,
PID-WRGW5Y,196,94980446,Blue,Light Blue,Large,331,
PID-WRGW5Y,196,94980445,Blue,Light Blue,Medium,331,
PID-WRGW5Y,196,94980444,Blue,Light Blue,Small,331,
PID-WRGW5Y,196,94980443,Blue,Light Blue,X Small,331,
PID-WRGW5Y,196,1006150227,White,White,Small,331,
PID-WRGW5Y,196,94980494,Pink,Light Pink,XX Large,331,
PID-WRGW5Y,196,94980493,Pink,Light Pink,X Large,331,
PID-WRGW5Y,196,94980492,Pink,Light Pink,Large,331,
PID-WRGW5Y,196,94980491,Pink,Light Pink,Medium,331,
PID-WRGW5Y,196,94980490,Pink,Light Pink,Small,331,
PID-WRGW5Y,196,1006150228,White,White,Large,331,
PID-WRGW5Y,196,94980475,Blue,Slate Blue,X Large,331,
PID-WRGW5Y,196,94980474,Blue,Slate Blue,Large,331,
PID-WRGW5Y,196,94980473,Blue,Slate Blue,Medium,331,
PID-WRGW5Y,196,94980472,Blue,Slate Blue,Small,331,
PID-WRGW5Y,196,94980471,Blue,Slate Blue,X Small,331,
PID-WRGW5Y,196,94980470,Blue,Slate Blue,XX Small,331,
PID-WRGW5Y,196,1011522824,Purple,Berry Purple,2X,331,
PID-WRGW5Y,196,95045816,Red,Red,2X,331,
PID-WRGW5Y,196,95045815,Red,Red,1X,331,
